suburb_name,suburb_postcode,suburb_region_name,suburb_property_count,suburb_council_area,suburb_description_wordcount,suburb_neighborhoods_overview_wordcount,suburb_transit_wordcount,suburb_rental_dailyprice
Abbotsford,3067.0,Northern Metropolitan,4019.0,['Yarra'],"[('apartment', 194), ('city', 178), ('room', 174), ('bed', 168), ('bedroom', 148), ('yarra', 141), ('abbotsford', 136), ('melbourne', 131), ('river', 129), ('private', 122)]","[('abbotsford', 181), ('walk', 151), ('street', 122), ('melbourne', 122), ('yarra', 116), ('river', 112), ('victoria', 111), ('restaurants', 110), ('cafes', 108), (""'s"", 99)]","[('tram', 176), ('walk', 148), ('street', 144), ('train', 118), ('city', 116), ('minutes', 98), ('st', 97), ('station', 91), ('victoria', 84), ('mins', 75)]",117.71951219512195
Airport West,3042.0,Western Metropolitan,3464.0,['Moonee Valley'],"[('min', 30), ('airport', 26), ('walk', 25), ('bedroom', 22), ('home', 20), ('room', 19), ('available', 18), ('tram', 18), ('house', 17), ('distance', 17)]","[('shops', 12), ('shopping', 12), ('quiet', 10), ('keilor', 8), ('tram', 8), ('also', 7), ('airport', 7), ('walk', 7), ('road', 6), ('west', 6)]","[('tram', 22), ('take', 14), ('city', 14), ('bus', 13), ('transport', 11), ('train', 10), ('stop', 10), ('cbd', 9), ('get', 9), ('minute', 8)]",75.10526315789474
Albert Park,3206.0,Southern Metropolitan,3280.0,['Port Phillip'],"[('park', 164), ('beach', 135), ('melbourne', 126), ('albert', 117), ('city', 93), ('apartment', 91), ('house', 80), ('walk', 79), ('tram', 77), ('bedroom', 70)]","[('park', 170), ('melbourne', 107), ('albert', 101), ('beach', 62), ('middle', 58), ('st', 56), ('walk', 54), ('restaurants', 43), ('kilda', 41), ('cafes', 41)]","[('tram', 111), ('st', 67), ('melbourne', 64), ('walk', 63), ('city', 61), ('minutes', 58), ('park', 46), ('street', 42), ('kilda', 40), ('away', 40)]",227.01149425287358
Alphington,3078.0,Northern Metropolitan,2211.0,"['Darebin', 'Yarra']","[('room', 89), ('house', 64), ('fairfield', 59), ('train', 53), ('walk', 53), ('bathroom', 48), ('station', 48), ('kitchen', 41), ('bedroom', 41), ('bed', 40)]","[('fairfield', 57), ('walk', 35), ('cafes', 30), ('street', 30), ('away', 27), ('river', 25), ('yarra', 24), ('station', 24), ('great', 24), ('boathouse', 23)]","[('station', 73), ('train', 65), ('bus', 49), ('walk', 46), ('fairfield', 33), ('city', 33), ('melbourne', 31), ('minutes', 27), ('street', 24), ('airport', 24)]",101.9795918367347
Altona,3018.0,Western Metropolitan,5301.0,['Hobsons Bay'],"[('beach', 30), ('walk', 26), ('train', 24), ('room', 23), ('station', 22), ('bed', 18), ('mins', 18), ('close', 17), ('kitchen', 15), ('away', 15)]","[('beach', 16), ('williamstown', 8), ('altona', 7), ('also', 7), ('area', 6), ('walking', 6), ('train', 6), ('away', 5), ('shopping', 5), ('great', 5)]","[('train', 29), ('station', 25), ('airport', 15), ('walk', 11), ('melbourne', 11), ('bus', 9), ('seaholme', 9), ('travel', 8), ('mins', 8), ('minutes', 7)]",82.16666666666667
Altona North,3025.0,Western Metropolitan,5132.0,['Hobsons Bay'],,,,
Armadale,3143.0,Southern Metropolitan,4836.0,['Stonnington'],"[('armadale', 61), ('street', 58), ('apartment', 57), ('melbourne', 51), ('train', 43), ('high', 43), ('walk', 36), ('tram', 33), ('close', 31), ('shopping', 31)]","[('street', 40), ('armadale', 39), ('melbourne', 37), ('high', 31), ('shopping', 28), (""'s"", 23), ('cafes', 22), ('restaurants', 22), ('shops', 18), ('tram', 17)]","[('walk', 38), ('train', 37), ('tram', 35), ('station', 34), ('armadale', 25), ('transport', 20), ('city', 18), ('minute', 18), ('public', 17), ('street', 17)]",132.0731707317073
Ascot Vale,3032.0,Western Metropolitan,6567.0,['Moonee Valley'],"[('apartment', 95), ('melbourne', 89), ('city', 79), ('walk', 79), ('room', 73), ('tram', 72), ('access', 71), ('bedroom', 69), ('close', 68), ('kitchen', 63)]","[('shopping', 57), ('melbourne', 53), ('river', 48), ('centre', 44), ('walk', 40), ('maribyrnong', 36), ('highpoint', 32), ('away', 31), (""'s"", 30), ('racecourse', 30)]","[('tram', 110), ('station', 78), ('walk', 70), ('train', 67), ('city', 66), ('melbourne', 61), ('minutes', 57), ('cbd', 43), ('bus', 36), ('min', 36)]",111.68181818181819
Ashburton,3147.0,Southern Metropolitan,3052.0,['Boroondara'],"[('house', 28), ('room', 24), ('bedroom', 22), ('area', 20), ('bed', 19), ('also', 18), ('walk', 18), ('guests', 17), ('large', 17), ('home', 17)]","[('ashburton', 14), ('parks', 11), ('shopping', 11), ('quiet', 11), ('street', 11), ('melbourne', 9), ('walking', 9), ('walk', 9), ('local', 8), ('shops', 7)]","[('walk', 23), ('station', 23), ('train', 18), ('bus', 16), ('minute', 12), ('city', 12), ('tram', 10), ('minutes', 10), ('ashburton', 9), ('ride', 8)]",86.11111111111111
Ashwood,3147.0,Southern Metropolitan,2894.0,['Monash'],"[('house', 28), ('room', 24), ('bedroom', 22), ('area', 20), ('bed', 19), ('also', 18), ('walk', 18), ('guests', 17), ('large', 17), ('home', 17)]","[('ashburton', 14), ('parks', 11), ('shopping', 11), ('quiet', 11), ('street', 11), ('melbourne', 9), ('walking', 9), ('walk', 9), ('local', 8), ('shops', 7)]","[('walk', 23), ('station', 23), ('train', 18), ('bus', 16), ('minute', 12), ('city', 12), ('tram', 10), ('minutes', 10), ('ashburton', 9), ('ride', 8)]",86.11111111111111
